S. No	Location ID	Seating	 Capacity	Subject Capacity
1	DT01	36	60	18
2	DT02	36	60	18
3	DT04	36	60	18
4	DT05	36	60	18
5	ES01	36	60	18
6	ES02	36	60	18
7	ES03	36	60	18
8	ES04	36	60	18
9	ES05	36	60	18
10	ES08	36	60	18
11	ES09	36	60	18
12	HF01	36	60	18
13	HF02	36	60	18
14	HF03	36	60	18
15	HF04	36	60	18
16	HG02	36	60	18
17	HG03	36	60	18
18	HG04	36	60	18
19	HS01	36	60	18
20	HS02	36	60	18
21	HS03	36	60	18
22	HS04	36	60	18
23	JG01	36	60	18
24	JG04	36	60	18
25	JS01	36	60	18
26	JS04	36	60	18
27	KF01	36	60	18
28	KF02	36	60	18
29	KF03	36	60	18
30	KF04	36	60	18
31	KG01	36	60	18
32	KG02	36	60	18
33	KG03	36	60	18
34	KG04	36	60	18
35	KS01	36	60	18
36	KS02	36	60	18
37	KS03	36	60	18
38	KS04	36	60	18
39	LB01	36	60	18
40	LB02	36	60	18
41	LB03	36	60	18
42	LB04	36	60	18
43	LB05	36	60	18
44	LB06	36	60	18
45	LB07	36	60	18
46	LB08	36	60	18
47	LB09	36	60	18
48	LB10	36	60	18
49	Liv01	36	60	18
50	Liv02	36	60	18
51	Lv01	36	60	18
52	Lv02	36	60	18
53	Lv03	36	60	18
54	Lv04	36	60	18
55	Lv05	36	60	18
56	Lv06	36	60	18
57	NB01	36	60	18
58	NB02	36	60	18
59	NB03	36	60	18
60	NB04	36	60	18
61	NB05	36	60	18
62	NB06	36	60	18
63	NF01	36	60	18
64	NF02	36	60	18
65	NF03	36	60	18
66	NF04	36	60	18
67	NG01	36	60	18
68	NG02	36	60	18
69	NG03	36	60	18
70	NG04	36	60	18
71	Niv01	36	60	18
72	Niv02	36	60	18
73	Niv03	36	60	18
74	Niv04	36	60	18
75	Niv05	36	60	18
76	Niv06	36	60	18
77	NS01	36	60	18
78	NS02	36	60	18
79	NS03	36	60	18
80	NS04	36	60	18
81	NS05	36	60	18
82	NS06	36	60	18
83	NT01	36	60	18
84	NT02	36	60	18
85	NT03	36	60	18
86	NT04	36	60	18
87	NT05	36	60	18
88	NT06	36	60	18
89	Nv01	36	60	18
90	Nv03	36	60	18
91	Nv04	36	60	18
92	Nv06	36	60	18
93	PB01	36	60	18
94	PB02	36	60	18
95	PB04	36	60	18
96	PF01	36	60	18
97	PF02	36	60	18
98	PF03	36	60	18
99	PF04	36	60	18
100	PG01	36	60	18
101	PG02	36	60	18
102	PG03	36	60	18
103	PG04	36	60	18
104	Piv01	36	60	18
105	Piv02	36	60	18
106	Piv03	36	60	18
107	Piv04	36	60	18
108	PS01	36	60	18
109	PS02	36	60	18
110	PS03	36	60	18
111	PS04	36	60	18
112	PT01	36	60	18
113	PT02	36	60	18
114	PT03	36	60	18
115	PT04	36	60	18
116	Pv01	36	60	18
117	Pv02	36	60	18
118	Pv03	36	60	18
119	Pv04	36	60	18
120	QB02	36	60	18
121	QB03	36	60	18
122	QB04	36	60	18
123	QG01	36	60	18
124	QG02	36	60	18
125	QG03	36	60	18
126	QG04	36	60	18
127	Qiv01	36	60	18
128	Qiv02	36	60	18
129	Qiv03	36	60	18
130	Qiv04	36	60	18
131	QS01	36	60	18
132	QS02	36	60	18
133	QS03	36	60	18
134	QS04	36	60	18
135	QT01	36	60	18
136	QT02	36	60	18
137	QT03	36	60	18
138	QT04	36	60	18
139	Qv01	36	60	18
140	Qv02	36	60	18
141	Qv04	36	60	18
142	Qv06	36	60	18
143	RB01	36	60	18
144	RB02	36	60	18
145	RB03	36	60	18
146	RB04	36	60	18
147	RF02	36	60	18
148	RF03	36	60	18
149	RG01	36	60	18
150	RG02	36	60	18
151	RG03	36	60	18
152	RG04	36	60	18
153	Riv01	36	60	18
154	Riv02	36	60	18
155	Riv03	36	60	18
156	Riv04	36	60	18
157	RS01	36	60	18
158	RS02	36	60	18
159	RS03	36	60	18
160	RS04	36	60	18
161	RT01	36	60	18
162	RT02	36	60	18
163	RT03	36	60	18
164	Rv02	36	60	18
165	Rv03	36	60	18
166	Rv04	36	60	18
167	UB01	36	60	18
168	UB02	36	60	18
169	UB03	36	60	18
170	UB04	36	60	18
171	UF01	36	60	18
172	UF02	36	60	18
173	UF03	36	60	18
174	UG01	36	60	18
175	UG02	36	60	18
176	UG03	36	60	18
177	UG04	36	60	18
178	UIV01	36	60	18
179	UIV02	36	60	18
180	UIV03	36	60	18
181	US01	36	60	18
182	US02	36	60	18
183	US03	36	60	18
184	US04	36	60	18
185	UT01	36	60	18
186	UT02	36	60	18
187	UT03	36	60	18
188	UT04	36	60	18
189	Uv01	36	60	18
190	Uv02	36	60	18
191	Uv04	36	60	18
192	Uv06	36	60	18
193	NT07	24	40	12
194	QT05	24	40	12
195	QT06	24	40	12
196	JF02	18	30	9
197	JF03	18	30	9
198	JG02	18	30	9
199	JG03	18	30	9
200	JS02	18	30	9
201	JS03	18	30	9
202	NB07	18	30	9
203	Niv07	18	30	9
204	Niv08	18	30	9
205	NS07	18	30	9
206	NS08	18	30	9
207	NT08	18	30	9
208	Qiv05	18	30	9
209	Qiv06	18	30	9
210	QS05	18	30	9
211	QS06	18	30	9
212	Qv03	18	30	9
213	Qv05	18	30	9
214	UF05	18	30	9
215	UF06	18	30	9
216	UG05	18	30	9
217	UIV05	18	30	9
218	Uiv06	18	30	9
219	US05	18	30	9
220	US06	18	30	9
221	UT05	18	30	9
222	UT06	18	30	9
223	Uv03	18	30	9
224	Uv05	18	30	9
